conversation_id,condition,turn_number,hedging,word_count,repetitiveness
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,2,0.0,37,0.0
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,3,0.8333,120,0.0
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,4,0.0,342,0.0
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,5,0.9091,220,0.037
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,6,0.0,436,0.0039
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,7,0.6645,301,0.0
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,8,0.0,322,0.0013
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,9,1.0563,284,0.0105
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,10,0.0,261,0.0
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,11,1.5504,258,0.0057
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,12,0.0,116,0.0054
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,13,0.7874,254,0.0245
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,14,0.0,159,0.0
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,15,0.0,225,0.0108
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,16,0.0,357,0.002
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,17,0.4608,217,0.0
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,18,0.0,249,0.0
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,19,0.0,250,0.0022
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,20,0.0,245,0.0
conv_ai_ai_detective_claudesonnet4_grok41fast_D2_1775424798,ai_ai_detective,2,0.0,14,0.0
conv_ai_ai_detective_claudesonnet4_grok41fast_D2_1775424798,ai_ai_detective,3,1.3514,74,0.0
conv_ai_ai_detective_claudesonnet4_grok41fast_D2_1775424798,ai_ai_detective,4,0.0,147,0.0
conv_ai_ai_detective_claudesonnet4_grok41fast_D2_1775424798,ai_ai_detective,5,0.0,134,0.0099
conv_ai_ai_detective_claudesonnet4_grok41fast_D2_1775424798,ai_ai_detective,6,0.2762,362,0.0
conv_ai_ai_detective_claudesonnet4_grok41fast_D2_1775424798,ai_ai_detective,7,1.1765,170,0.0101
conv_ai_ai_detective_claudesonnet4_grok41fast_D2_1775424798,ai_ai_detective,8,0.8197,122,0.0021
conv_ai_ai_detective_claudesonnet4_grok41fast_D2_1775424798,ai_ai_detective,9,1.7857,224,0.0026
conv_ai_ai_detective_claudesonnet4_grok41fast_D2_1775424798,ai_ai_detective,10,0.0,95,0.0095
conv_ai_ai_detective_claudesonnet4_grok41fast_D2_1775424798,ai_ai_detective,11,0.5405,185,0.0025
conv_ai_ai_detective_claudesonnet4_grok41fast_D2_1775424798,ai_ai_detective,12,0.4831,207,0.0
conv_ai_ai_detective_claudesonnet4_grok41fast_D2_1775424798,ai_ai_detective,13,1.8265,219,0.0364
conv_ai_ai_detective_claudesonnet4_grok41fast_D2_1775424798,ai_ai_detective,14,0.0,184,0.0
conv_ai_ai_detective_claudesonnet4_grok41fast_D2_1775424798,ai_ai_detective,15,0.0,230,0.0023
